,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
18,Childs Play,Views,Drake,2016-05-13,241400,52,0.745,0.017,0.745,0.473,1.12e-05,0.197,-11.243,0.0955,80.006,4,sad,English,2016
19,305 To My City,Nothing Was The Same (Deluxe),Drake,2013-01-01,255853,0,0.419,0.0567,0.419,0.494,0.0,0.144,-8.782,0.345,67.622,5,sad,English,2013
20,Fireworks,Thank Me Later,Drake,2010-01-01,313280,51,0.55,0.433,0.55,0.758,0.0,0.162,-6.472,0.347,89.368,4,sad,English,2010
21,Fire & Desire,Views,Drake,2016-05-13,238120,50,0.722,0.0671,0.722,0.252,0.0,0.0852,-14.411,0.0762,79.923,4,sad,English,2016
22,Fake Love,Fake Love,Drake,2016-10-24,207813,0,0.924,0.182,0.924,0.543,0.0,0.103,-7.474,0.298,133.907,4,sad,English,2016
23,Drama (feat. Drake),Exis,Roy Woods,2015-07-31,251859,76,0.709,0.157,0.709,0.362,0.0,0.109,-9.814,0.055,122.043,4,sad,English,2015
24,Over Here (feat. Drake),PARTYNEXTDOOR,PARTYNEXTDOOR,2013-07-01,177827,53,0.794,0.0384,0.794,0.592,1.86e-05,0.111,-6.973,0.129,97.201,4,sad,English,2013
25,Break from Toronto,PARTYNEXTDOOR,PARTYNEXTDOOR,2013-07-01,99213,74,0.596,0.0199,0.596,0.678,0.004,0.418,-5.18,0.0335,117.066,4,sad,English,2013
26,Recognize (feat. Drake),PARTYNEXTDOOR TWO,PARTYNEXTDOOR,2014-07-29,311197,67,0.643,0.0102,0.643,0.541,0.0,0.102,-5.801,0.0426,119.499,4,sad,English,2014
27,Come and See Me (feat. Drake),PARTYNEXTDOOR 3 (P3),PARTYNEXTDOOR,2016-08-12,235477,74,0.717,0.0511,0.717,0.347,2.43e-06,0.087,-10.265,0.0636,84.987,4,sad,English,2016
28,The Zone,Trilogy,The Weeknd,2012-01-01,418506,0,0.616,0.305,0.616,0.523,0.000411,0.1,-8.105,0.0839,139.951,4,sad,English,2012
29,Diced Pineapples,"God Forgives, I Don't (Deluxe Edition)",Rick Ross,2012-01-01,276160,36,0.511,0.352,0.511,0.734,0.0,0.196,-6.025,0.239,110.771,5,sad,English,2012
30,Come Thru,Nothing Was The Same (Deluxe),Drake,2013-01-01,236360,55,0.472,0.163,0.472,0.468,0.0,0.586,-5.815,0.184,81.94,4,sad,English,2013
31,"Hold On, We're Going Home",Nothing Was The Same (Deluxe),Drake,2013-01-01,227880,73,0.773,0.00411,0.773,0.414,3.4e-05,0.0733,-7.436,0.0961,99.993,4,sad,English,2013
32,The Ride,Take Care (Deluxe),Drake,2011-11-15,351013,9,0.556,0.517,0.556,0.702,0.0,0.342,-10.079,0.205,155.948,4,sad,English,2011
33,Jorja Interlude,More Life,Drake,2017-03-18,107673,61,0.735,0.762,0.735,0.373,0.00202,0.288,-10.478,0.104,123.081,4,sad,English,2017
34,Teenage Fever,More Life,Drake,2017-03-18,219692,75,0.766,0.111,0.766,0.283,0.0172,0.115,-10.33,0.0846,97.04,4,sad,English,2017
35,Nothings Into Somethings,More Life,Drake,2017-03-18,153724,59,0.766,0.332,0.766,0.234,0.00156,0.358,-7.544,0.159,96.882,4,sad,English,2017
36,Signs,Signs,Drake,2017-06-23,234373,69,0.794,0.108,0.794,0.735,0.00578,0.112,-4.204,0.054,107.374,4,sad,English,2017
37,Jaded,Scorpion,Drake,2018-06-29,262453,0,0.766,0.0366,0.766,0.272,0.0,0.175,-5.696,0.041,116.036,4,sad,English,2018
38,Peak,Scorpion,Drake,2018-06-29,206026,0,0.689,0.847,0.689,0.217,0.000123,0.106,-13.539,0.0387,92.007,4,sad,English,2018
39,Finesse,Scorpion,Drake,2018-06-29,182080,0,0.807,0.132,0.807,0.321,0.000289,0.1,-8.147,0.0571,94.994,4,sad,English,2018
40,Don’t Matter To Me (with Michael Jackson),Scorpion,Drake,2018-06-29,245786,74,0.822,0.493,0.822,0.318,0.0128,0.11,-12.391,0.0575,102.998,4,sad,English,2018
41,The Resistance,Thank Me Later,Drake,2010-01-01,225360,50,0.547,0.822,0.547,0.741,0.0,0.117,-8.127,0.163,82.589,4,sad,English,2010
42,Furthest Thing,Nothing Was The Same (Deluxe),Drake,2013-01-01,267373,0,0.484,0.147,0.484,0.78,0.0,0.057,-5.264,0.135,137.101,4,sad,English,2013
43,Own It,Nothing Was The Same (Deluxe),Drake,2013-01-01,251973,0,0.654,0.0487,0.654,0.342,3.37e-05,0.313,-11.305,0.101,103.064,4,sad,English,2013
44,U With Me?,Views,Drake,2016-05-06,297373,60,0.429,0.338,0.429,0.43,1.18e-05,0.138,-11.373,0.165,174.983,4,sad,English,2016
45,Known Better,Known Better,Genard,2018-04-27,214700,21,0.568,0.0317,0.568,0.459,2.38e-06,0.227,-7.681,0.065,169.438,4,sad,English,2018
46,Deep Pockets,Dark Lane Demo Tapes,Drake,2020-05-01,222928,68,0.473,0.482,0.473,0.824,0.0,0.605,-3.68,0.163,77.888,4,sad,English,2020
