,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
14,Die For You,Starboy,The Weeknd,2016-11-25,260253,77,0.582,0.111,0.582,0.525,0.0,0.134,-7.163,0.0627,133.249,4,Hip-Hop,English,2016
15,Love Me Harder,My Everything (Deluxe),Ariana Grande,2014-08-25,236133,74,0.472,0.00937,0.472,0.714,0.0,0.0764,-4.389,0.0334,98.992,4,Hip-Hop,English,2014
16,Tell Your Friends,Beauty Behind The Madness,The Weeknd,2015-08-28,334333,68,0.583,0.265,0.583,0.454,0.0,0.181,-11.091,0.0425,74.64,4,Hip-Hop,English,2015
17,Prisoner,Beauty Behind The Madness,The Weeknd,2015-08-28,274960,63,0.551,0.443,0.551,0.405,0.000217,0.11,-12.756,0.0398,135.017,4,Hip-Hop,English,2015
18,Secrets,Starboy,The Weeknd,2016-11-25,265600,71,0.664,0.0155,0.664,0.771,9.6e-06,0.46,-5.779,0.0533,109.945,4,Hip-Hop,English,2016
19,Sidewalks,Starboy,The Weeknd,2016-11-25,231360,70,0.542,0.147,0.542,0.72,0.0,0.348,-5.136,0.0628,149.828,4,Hip-Hop,English,2016
20,True Colors,Starboy,The Weeknd,2016-11-25,206013,69,0.624,0.286,0.624,0.424,0.0,0.173,-8.237,0.24,76.671,4,Hip-Hop,English,2016
21,Six Feet Under,Starboy,The Weeknd,2016-11-25,237573,68,0.772,0.129,0.772,0.504,0.0,0.125,-8.219,0.0761,140.035,4,Hip-Hop,English,2016
22,In The Night,Beauty Behind The Madness,The Weeknd,2015-08-28,235653,72,0.505,0.0796,0.505,0.68,0.0,0.0465,-4.993,0.0714,168.022,3,Hip-Hop,English,2015
23,Often,Beauty Behind The Madness,The Weeknd,2015-08-28,249040,76,0.572,0.222,0.572,0.631,0.0,0.135,-9.836,0.0476,134.078,4,Hip-Hop,English,2015
24,Dark Times,Beauty Behind The Madness,The Weeknd,2015-08-28,260640,68,0.501,0.116,0.501,0.403,1.03e-05,0.124,-9.611,0.0747,132.608,3,Hip-Hop,English,2015
25,The Zone,Trilogy,The Weeknd,2012-01-01,418506,60,0.619,0.26,0.619,0.521,0.000542,0.101,-8.092,0.0744,139.886,4,Hip-Hop,English,2012
26,Stargirl Interlude,Starboy,The Weeknd,2016-11-25,111640,65,0.638,0.351,0.638,0.474,0.191,0.105,-12.7,0.124,179.771,4,Hip-Hop,English,2016
27,Attention,Starboy,The Weeknd,2016-11-25,197653,66,0.671,0.688,0.671,0.428,0.000182,0.119,-7.052,0.124,148.04,4,Hip-Hop,English,2016
28,Love To Lay,Starboy,The Weeknd,2016-11-25,223293,64,0.711,0.052,0.711,0.807,0.0,0.214,-5.052,0.0608,116.971,4,Hip-Hop,English,2016
29,All I Know,Starboy,The Weeknd,2016-11-25,321026,64,0.467,0.421,0.467,0.417,0.000202,0.102,-10.614,0.074,120.021,4,Hip-Hop,English,2016
30,Nothing Without You,Starboy,The Weeknd,2016-11-25,198653,65,0.575,0.0646,0.575,0.634,0.0,0.0878,-8.1,0.068,109.825,4,Hip-Hop,English,2016
31,Ordinary Life,Starboy,The Weeknd,2016-11-25,221920,66,0.537,0.0275,0.537,0.587,0.0,0.0961,-7.486,0.0771,149.748,4,Hip-Hop,English,2016
32,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",Ty Dolla $ign,2014-06-10,242983,80,0.805,0.22,0.805,0.33,0.0,0.105,-8.712,0.1,121.97,4,Hip-Hop,English,2014
33,Wicked Games,Trilogy,The Weeknd,2012-01-01,323746,73,0.658,0.00959,0.658,0.591,5.27e-06,0.325,-5.197,0.0309,114.078,4,Hip-Hop,English,2012
34,Shameless,Beauty Behind The Madness,The Weeknd,2015-08-28,253506,67,0.603,0.147,0.603,0.563,0.0,0.109,-8.313,0.027,100.06,4,Hip-Hop,English,2015
35,Losers,Beauty Behind The Madness,The Weeknd,2015-08-28,281146,62,0.666,0.0355,0.666,0.485,0.000599,0.504,-9.85,0.053,91.007,4,Hip-Hop,English,2015
36,Live For,Kiss Land,The Weeknd,2013-01-01,222666,60,0.626,0.517,0.626,0.68,0.0,0.114,-7.64,0.112,75.978,4,Hip-Hop,English,2013
37,Don't Feel the Same / Know Your Faith,Don't Feel the Same / Know Your Faith,Joey Montanda,2019-11-20,249678,12,0.429,0.143,0.429,0.356,1.57e-05,0.104,-16.477,0.0332,99.96,4,Hip-Hop,English,2019
38,High For This,Trilogy,The Weeknd,2012-01-01,247226,68,0.465,0.744,0.465,0.403,0.000667,0.0777,-8.895,0.0755,74.95,4,Hip-Hop,English,2012
39,Real Life,Beauty Behind The Madness,The Weeknd,2015-08-28,223373,61,0.581,0.439,0.581,0.652,0.0,0.351,-5.039,0.0496,90.634,4,Hip-Hop,English,2015
